# index rel_height prob
1 -2400 0.000555
2 -2300 0.000802
3 -2200 0.001139
4 -2100 0.001594
5 -2000 0.002196
6 -1900 0.002978
7 -1800 0.003976
8 -1700 0.005227
9 -1600 0.006764
10 -1500 0.008617
11 -1400 0.010808
12 -1300 0.013346
13 -1200 0.016225
14 -1100 0.019419
15 -1000 0.022881
16 -900 0.026542
17 -800 0.030312
18 -700 0.034081
19 -600 0.037724
20 -500 0.041110
21 -400 0.044104
22 -300 0.046583
23 -200 0.048439
24 -100 0.049589
25 0 0.049978
26 100 0.049589
27 200 0.048439
28 300 0.046583
29 400 0.044104
30 500 0.041110
31 600 0.037724
32 700 0.034081
33 800 0.030312
34 900 0.026542
35 1000 0.022881
36 1100 0.019419
37 1200 0.016225
38 1300 0.013346
39 1400 0.010808
40 1500 0.008617
41 1600 0.006764
42 1700 0.005227
43 1800 0.003976
44 1900 0.002978
45 2000 0.002196
46 2100 0.001594
47 2200 0.001139
48 2300 0.000802
49 2400 0.000555
